phenotype,trait_type,mean_fitness_value,mean_across_category
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
yield per plant,LH,7.815,
yield per plant,LH,7.815,
yield per plant,LH,7.815,
yield per plant,LH,7.815,
yield per plant,LH,7.815,
yield per plant,LH,7.815,
yield per plant (kg),LH,7.815,
yield per plant (kg),LH,7.815,
yield per plant (kg),LH,7.815,
yield per plant (kg),LH,7.815,
yield per plant (kg),LH,7.815,
yield per plant (kg),LH,7.815,
yield per spike (g),LH,7.815,
yield per spike (g),LH,7.815,
yield per spike (g),LH,7.815,
yield per spike (g),LH,7.815,
yield per spike (g),LH,7.815,
,,,
% damage,M,5.423,4.779627828
2.5% span length,M,3.95,
2.5% span length,M,3.95,
2.5% span length,M,3.95,
2.5% span length,M,3.95,
2.5% span length,M,3.95,
2.5% span length,M,3.95,
"24 hour estimate, locomotor activity",M,5.731,
"4 hour estimate, locomotor activity",M,5.731,
"48 hour estimate, locomotor activity",M,5.731,
60 day bodyweight in females,M,6.065,
60 day bodyweight in males,M,6.065,
abdominal length,M,4.92,
abdominal length,M,4.92,
abdominal length,M,4.92,
abdominal length,M,4.92,
abdominal width,M,4.92,
abdominal width,M,4.92,
abdominal width,M,4.92,
abdominal width,M,4.92,
above ground biomass,M,5.724,
acetylene reduced (nmoles/h),M,4.048,
"acrophase, locomotor activity",M,5.731,
"amplitude, locomotor activity",M,5.731,
anthocyanin content,M,4.174,
anthocyanin content,M,4.174,
anthocyanin content,M,4.174,
anthocyanin content,M,4.174,
aphid survival,M,8.655,
aphid survival,M,8.655,
arachidic acid,M,3.65,
arachidic acid,M,3.65,
arachidic acid,M,3.65,
ascorbic acid content,M,4.417,
ascorbic acid content,M,4.417,
ascorbic acid content,M,4.417,
ascorbic acid content,M,4.417,
ascorbic acid content,M,4.417,
ascorbic acid content,M,4.417,
ascorbic acid content,M,4.417,
beak length,M,5.464,
beak length,M,5.464,
behenic acid,M,4.227,
behenic acid,M,4.227,
behenic acid,M,4.227,
biomass tolerance,M,5.864,
body depth,M,6.065,
body depth,M,6.065,
body length,M,6.065,
body length,M,6.065,
body length,M,6.065,
body length,M,6.065,
body length,M,6.065,
body length,M,6.065,
body length,M,6.065,
body length,M,6.065,
body shape,M,6.065,
body shape,M,6.065,
body weight,M,6.065,
body weight,M,6.065,
body width,M,6.065,
body width,M,6.065,
body width,M,6.065,
body width,M,6.065,
body width,M,6.065,
body width,M,6.065,
body width,M,6.065,
body width,M,6.065,
body width,M,6.065,
branches per panicle,M,4.429,
bristle size,M,4,
bundle strength (g/tex),M,3.143,
bundle strength (g/tex),M,3.143,
bundle strength (g/tex),M,3.143,
bundle strength (g/tex),M,3.143,
bundle strength (g/tex),M,3.143,
bundle strength (g/tex),M,3.143,
BxACO female weight,M,5.31,
BxACO male weight,M,5.31,
BxSO female weight,M,5.31,
BxSO male weight,M,5.31,
calyx length,M,6.032,
canopy temp,M,4.714,
canopy width,M,5.48,
canopy width,M,5.48,
canopy width,M,5.48,
canopy width,M,5.48,
chlorophyll concentration,M,6.36,
chlorophyll concentration,M,6.36,
chlorophyll concentration,M,6.36,
chlorophyll concentration,M,6.36,
chlorophyll concentration,M,6.36,
chlorophyll concentration,M,6.36,
chlorophyll concentration,M,6.36,
chlorophyll concentration,M,6.36,
chlorophyll concentration,M,6.36,
chlorophyll concentration,M,6.36,
chlorophyll content,M,6.36,
chlorophyll content,M,6.36,
coleoptile length (mm),M,4.621,
coleoptile length (mm),M,4.621,
coleoptile length (mm),M,4.621,
coleoptile length (mm),M,4.621,
coleoptile length (mm),M,4.621,
condensed tannins,M,4.52,
corolla length,M,6.032,
cotyledon area (mm2),M,6.103,
days taken to first lateral,M,5.857,
diameter at breast height,M,4.444,
diameter at breast height,M,4.444,
dry above ground biomass,M,5.724,
dry matter content,M,4.545,
dry matter content,M,4.545,
dry matter content,M,4.545,
dry matter content,M,4.545,
dry weight,M,5.04,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear diameter,M,4.08,
ear height,M,4.08,
ear height,M,4.08,
ear height,M,4.08,
ear height,M,4.08,
ear length,M,4.08,
ear length,M,4.08,
ear length,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
ear length ,M,4.08,
eggshell color,M,4.44,
eicosenoic acid,M,4.182,
eicosenoic acid,M,4.182,
eicosenoic acid,M,4.182,
eye-ball size,M,3.833,
eye-nostril distance,M,2.96,
